nome,preco,tipo,unidade
"Comercial Gravado 07 segundos (Rotativo 06h-20h)",19.40,Comercial Gravado,"DEMAIS FM 104,7"
"Comercial Gravado 07 segundos (Rotativo 06h-20h)",19.40,Comercial Gravado,"DEMAIS FM 107,9"
"Comercial Gravado 07 segundos (Rotativo 06h-20h)",9.70,Comercial Gravado,"DEMAIS FM 101,1"
"Comercial Gravado 10 segundos (Rotativo 06h-20h)",31.90,Comercial Gravado,"DEMAIS FM 104,7"
"Comercial Gravado 10 segundos (Rotativo 06h-20h)",31.90,Comercial Gravado,"DEMAIS FM 107,9"
"Comercial Gravado 10 segundos (Rotativo 06h-20h)",15.95,Comercial Gravado,"DEMAIS FM 101,1"
"Comercial Gravado 15 segundos (Rotativo 06h-20h)",44.60,Comercial Gravado,"DEMAIS FM 104,7"
"Comercial Gravado 15 segundos (Rotativo 06h-20h)",44.60,Comercial Gravado,"DEMAIS FM 107,9"
"Comercial Gravado 15 segundos (Rotativo 06h-20h)",21.95,Comercial Gravado,"DEMAIS FM 101,1"
"Comercial Gravado 30 segundos (Rotativo 06h-20h)",63.80,Comercial Gravado,"DEMAIS FM 104,7"
"Comercial Gravado 30 segundos (Rotativo 06h-20h)",63.80,Comercial Gravado,"DEMAIS FM 107,9"
"Comercial Gravado 30 segundos (Rotativo 06h-20h)",31.35,Comercial Gravado,"DEMAIS FM 101,1"
"Comercial Gravado 45 segundos (Rotativo 06h-20h)",82.50,Comercial Gravado,"DEMAIS FM 104,7"
"Comercial Gravado 45 segundos (Rotativo 06h-20h)",82.50,Comercial Gravado,"DEMAIS FM 107,9"
"Comercial Gravado 45 segundos (Rotativo 06h-20h)",40.25,Comercial Gravado,"DEMAIS FM 101,1"
"Comercial Gravado 01 minuto (Rotativo 06h-20h)",95.70,Comercial Gravado,"DEMAIS FM 104,7"
"Comercial Gravado 01 minuto (Rotativo 06h-20h)",95.70,Comercial Gravado,"DEMAIS FM 107,9"
"Comercial Gravado 01 minuto (Rotativo 06h-20h)",46.60,Comercial Gravado,"DEMAIS FM 101,1"
"Jingle - Produção (veiculação = valor do spot equivalente)",500.00,Comercial Gravado,
"Nota de Falecimento (mesmo preço de spot 30s)",63.80,Comercial Gravado,"DEMAIS FM 104,7"
"Nota de Falecimento (mesmo preço de spot 30s)",63.80,Comercial Gravado,"DEMAIS FM 107,9"
"Nota de Falecimento (mesmo preço de spot 30s)",31.35,Comercial Gravado,"DEMAIS FM 101,1"
"Testemunhal (feito pelo comunicador no estúdio)",117.15,Feito ao Vivo,"DEMAIS FM 104,7"
"Testemunhal (feito pelo comunicador no estúdio)",117.15,Feito ao Vivo,"DEMAIS FM 107,9"
"Testemunhal (feito pelo comunicador no estúdio)",70.55,Feito ao Vivo,"DEMAIS FM 101,1"
"Flash ao Vivo 2 min (feito pelo cliente)",322.30,Feito ao Vivo,"DEMAIS FM 104,7"
"Flash ao Vivo 2 min (feito pelo cliente)",322.30,Feito ao Vivo,"DEMAIS FM 107,9"
"Flash ao Vivo 2 min (feito pelo cliente)",234.30,Feito ao Vivo,"DEMAIS FM 101,1"
"Blitz Demais FM (5 flashes + 30 chamadas + estrutura móvel)",3990.00,Blitz,"DEMAIS FM 104,7"
"Blitz Demais FM (5 flashes + 30 chamadas + estrutura móvel)",3990.00,Blitz,"DEMAIS FM 107,9"
"Blitz Demais FM (5 flashes + 30 chamadas + estrutura móvel)",2420.00,Blitz,"DEMAIS FM 101,1"
"Blitz - Vídeo editado pós evento (drone + sonora)",600.00,Blitz,
"Evento e Cobertura de Festa (70 chamadas + 5 flashes + estrutura)",7300.00,Eventos,"DEMAIS FM 104,7"
"Evento e Cobertura de Festa (70 chamadas + 5 flashes + estrutura)",7300.00,Eventos,"DEMAIS FM 107,9"
"Evento e Cobertura de Festa (70 chamadas + 5 flashes + estrutura)",3700.00,Eventos,"DEMAIS FM 101,1"
"Patrocinador de Evento - Plano Ouro (70 inserções, 15 dias antes)",1100.00,Eventos,
"Patrocinador de Evento - Plano Prata (30 inserções, semana da festa)",600.00,Eventos,
"Patrocinador de Evento - Plano Bronze (15 inserções, semana da festa)",300.00,Eventos,
"Previsão do Tempo - 02 citações de 10s",1417.00,Patrocínio,
"Previsão do Tempo - 04 citações de 10s",2025.00,Patrocínio,
"Previsão do Tempo - 06 citações de 10s",2432.00,Patrocínio,
"Hora Certa - 02 citações de 10s",1088.00,Patrocínio,"DEMAIS FM 104,7"
"Hora Certa - 02 citações de 10s",1088.00,Patrocínio,"DEMAIS FM 107,9"
"Hora Certa - 02 citações de 10s",930.00,Patrocínio,"DEMAIS FM 101,1"
"Hora Certa - 03 citações de 10s",1417.00,Patrocínio,"DEMAIS FM 104,7"
"Hora Certa - 03 citações de 10s",1417.00,Patrocínio,"DEMAIS FM 107,9"
"Hora Certa - 03 citações de 10s",1269.00,Patrocínio,"DEMAIS FM 101,1"
"Informativo Demais News abre e fecha - 04 citações de 5s (10h-12h-15h-18h, cota única)",2500.00,Patrocínio,"DEMAIS FM 104,7"
"Informativo Demais News abre e fecha - 04 citações de 5s (10h-12h-15h-18h, cota única)",2500.00,Patrocínio,"DEMAIS FM 107,9"
